Training on 40.96M total tokens.
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.02s/it]
Loaded pretrained model gpt2-small into HookedTransformer
Moving model to device:  cpu
Moving model to device:  cpu
Using Hugging Face token: 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
Batch [1/5000], Avg Reconstruction Loss: 1.306476, Avg L1 Loss: 20857.691406, Avg L0 Loss: 8457.578125, Avg Total Loss: 3.392246
Batch [32/5000], Avg Reconstruction Loss: 1.116643, Avg L1 Loss: 13.361485, Avg L0 Loss: 15.918091, Avg Total Loss: 1.117980
Batch [33/5000], Avg Reconstruction Loss: 1.117068, Avg L1 Loss: 9.905781, Avg L0 Loss: 12.377686, Avg Total Loss: 1.118059
Batch [34/5000], Avg Reconstruction Loss: 1.117065, Avg L1 Loss: 11.031874, Avg L0 Loss: 13.598755, Avg Total Loss: 1.118168
Batch [35/5000], Avg Reconstruction Loss: 1.121162, Avg L1 Loss: 7.079589, Avg L0 Loss: 8.765015, Avg Total Loss: 1.121870
Batch [36/5000], Avg Reconstruction Loss: 1.117869, Avg L1 Loss: 14.049604, Avg L0 Loss: 16.551270, Avg Total Loss: 1.119274
Batch [37/5000], Avg Reconstruction Loss: 1.117947, Avg L1 Loss: 7.925282, Avg L0 Loss: 10.056274, Avg Total Loss: 1.118740
Batch [38/5000], Avg Reconstruction Loss: 1.119837, Avg L1 Loss: 6.511787, Avg L0 Loss: 8.208740, Avg Total Loss: 1.120488
Batch [39/5000], Avg Reconstruction Loss: 1.117554, Avg L1 Loss: 7.281654, Avg L0 Loss: 9.538696, Avg Total Loss: 1.118282
Batch [40/5000], Avg Reconstruction Loss: 1.118139, Avg L1 Loss: 6.746294, Avg L0 Loss: 8.628662, Avg Total Loss: 1.118814
Batch [41/5000], Avg Reconstruction Loss: 1.123048, Avg L1 Loss: 10.918105, Avg L0 Loss: 11.873047, Avg Total Loss: 1.124140
Batch [42/5000], Avg Reconstruction Loss: 1.119344, Avg L1 Loss: 6.141477, Avg L0 Loss: 7.982178, Avg Total Loss: 1.119959
Batch [43/5000], Avg Reconstruction Loss: 1.119237, Avg L1 Loss: 5.406389, Avg L0 Loss: 7.265747, Avg Total Loss: 1.119777
Batch [44/5000], Avg Reconstruction Loss: 1.120968, Avg L1 Loss: 7.481790, Avg L0 Loss: 9.044067, Avg Total Loss: 1.121716
Batch [45/5000], Avg Reconstruction Loss: 1.119193, Avg L1 Loss: 5.568283, Avg L0 Loss: 7.485107, Avg Total Loss: 1.119750
Batch [46/5000], Avg Reconstruction Loss: 1.117883, Avg L1 Loss: 7.379790, Avg L0 Loss: 8.988770, Avg Total Loss: 1.118621
Batch [47/5000], Avg Reconstruction Loss: 1.119879, Avg L1 Loss: 9.575838, Avg L0 Loss: 11.711426, Avg Total Loss: 1.120837
Batch [48/5000], Avg Reconstruction Loss: 1.116198, Avg L1 Loss: 7.927612, Avg L0 Loss: 10.118286, Avg Total Loss: 1.116990
Batch [49/5000], Avg Reconstruction Loss: 1.118582, Avg L1 Loss: 6.233101, Avg L0 Loss: 8.199341, Avg Total Loss: 1.119206
Batch [50/5000], Avg Reconstruction Loss: 1.115266, Avg L1 Loss: 6.991698, Avg L0 Loss: 8.735596, Avg Total Loss: 1.115965
Batch [51/5000], Avg Reconstruction Loss: 1.115624, Avg L1 Loss: 11.424736, Avg L0 Loss: 14.005371, Avg Total Loss: 1.116766
Batch [52/5000], Avg Reconstruction Loss: 1.117229, Avg L1 Loss: 5.962836, Avg L0 Loss: 7.870850, Avg Total Loss: 1.117825
Batch [53/5000], Avg Reconstruction Loss: 1.119890, Avg L1 Loss: 4.443843, Avg L0 Loss: 5.910278, Avg Total Loss: 1.120335
Batch [54/5000], Avg Reconstruction Loss: 1.122228, Avg L1 Loss: 4.887681, Avg L0 Loss: 6.229370, Avg Total Loss: 1.122716
Batch [55/5000], Avg Reconstruction Loss: 1.122000, Avg L1 Loss: 4.763664, Avg L0 Loss: 6.087769, Avg Total Loss: 1.122476
Batch [56/5000], Avg Reconstruction Loss: 1.119832, Avg L1 Loss: 5.760432, Avg L0 Loss: 7.010498, Avg Total Loss: 1.120408
Batch [57/5000], Avg Reconstruction Loss: 1.121058, Avg L1 Loss: 3.862434, Avg L0 Loss: 5.000244, Avg Total Loss: 1.121445
Batch [58/5000], Avg Reconstruction Loss: 1.123168, Avg L1 Loss: 3.454109, Avg L0 Loss: 4.611206, Avg Total Loss: 1.123514
Batch [59/5000], Avg Reconstruction Loss: 1.117231, Avg L1 Loss: 5.282778, Avg L0 Loss: 6.886475, Avg Total Loss: 1.117760
Batch [60/5000], Avg Reconstruction Loss: 1.117870, Avg L1 Loss: 4.889721, Avg L0 Loss: 6.412109, Avg Total Loss: 1.118359
Batch [61/5000], Avg Reconstruction Loss: 1.117601, Avg L1 Loss: 5.957669, Avg L0 Loss: 7.269653, Avg Total Loss: 1.118197
Batch [62/5000], Avg Reconstruction Loss: 1.119554, Avg L1 Loss: 5.625655, Avg L0 Loss: 7.019531, Avg Total Loss: 1.120116
Batch [63/5000], Avg Reconstruction Loss: 1.119027, Avg L1 Loss: 7.901585, Avg L0 Loss: 9.389648, Avg Total Loss: 1.119817
Batch [64/5000], Avg Reconstruction Loss: 1.119994, Avg L1 Loss: 3.585720, Avg L0 Loss: 4.533081, Avg Total Loss: 1.120352
Batch [65/5000], Avg Reconstruction Loss: 1.120195, Avg L1 Loss: 5.290348, Avg L0 Loss: 5.584595, Avg Total Loss: 1.120724
Batch [66/5000], Avg Reconstruction Loss: 1.117975, Avg L1 Loss: 6.756672, Avg L0 Loss: 7.386353, Avg Total Loss: 1.118651
Batch [67/5000], Avg Reconstruction Loss: 1.119325, Avg L1 Loss: 4.718435, Avg L0 Loss: 5.401855, Avg Total Loss: 1.119797
Batch [68/5000], Avg Reconstruction Loss: 1.116974, Avg L1 Loss: 8.420875, Avg L0 Loss: 8.473022, Avg Total Loss: 1.117816
Batch [69/5000], Avg Reconstruction Loss: 1.117420, Avg L1 Loss: 5.990795, Avg L0 Loss: 5.552002, Avg Total Loss: 1.118019
Batch [70/5000], Avg Reconstruction Loss: 1.118297, Avg L1 Loss: 6.065155, Avg L0 Loss: 4.347412, Avg Total Loss: 1.118903
Batch [71/5000], Avg Reconstruction Loss: 1.113294, Avg L1 Loss: 10.422414, Avg L0 Loss: 8.137451, Avg Total Loss: 1.114336
Batch [72/5000], Avg Reconstruction Loss: 1.113731, Avg L1 Loss: 11.530931, Avg L0 Loss: 6.915894, Avg Total Loss: 1.114884
Batch [73/5000], Avg Reconstruction Loss: 1.108080, Avg L1 Loss: 21.456226, Avg L0 Loss: 16.841553, Avg Total Loss: 1.110225
Batch [74/5000], Avg Reconstruction Loss: 1.110541, Avg L1 Loss: 16.085978, Avg L0 Loss: 7.694336, Avg Total Loss: 1.112150
Batch [75/5000], Avg Reconstruction Loss: 1.110777, Avg L1 Loss: 18.041483, Avg L0 Loss: 8.161865, Avg Total Loss: 1.112581
Batch [76/5000], Avg Reconstruction Loss: 1.109344, Avg L1 Loss: 19.848318, Avg L0 Loss: 7.151855, Avg Total Loss: 1.111329
Batch [77/5000], Avg Reconstruction Loss: 1.106480, Avg L1 Loss: 27.810444, Avg L0 Loss: 9.873169, Avg Total Loss: 1.109261
Batch [78/5000], Avg Reconstruction Loss: 1.105640, Avg L1 Loss: 27.046631, Avg L0 Loss: 7.136597, Avg Total Loss: 1.108345
Batch [79/5000], Avg Reconstruction Loss: 1.099790, Avg L1 Loss: 33.696762, Avg L0 Loss: 7.982422, Avg Total Loss: 1.103159
Batch [80/5000], Avg Reconstruction Loss: 1.098932, Avg L1 Loss: 40.506584, Avg L0 Loss: 9.529297, Avg Total Loss: 1.102983
Batch [81/5000], Avg Reconstruction Loss: 1.094127, Avg L1 Loss: 46.517620, Avg L0 Loss: 9.340820, Avg Total Loss: 1.098778
Batch [82/5000], Avg Reconstruction Loss: 1.087572, Avg L1 Loss: 49.967182, Avg L0 Loss: 8.533569, Avg Total Loss: 1.092569
Batch [83/5000], Avg Reconstruction Loss: 1.083859, Avg L1 Loss: 52.349743, Avg L0 Loss: 6.629028, Avg Total Loss: 1.089094
Batch [84/5000], Avg Reconstruction Loss: 1.074883, Avg L1 Loss: 61.555943, Avg L0 Loss: 8.769043, Avg Total Loss: 1.081038
Batch [85/5000], Avg Reconstruction Loss: 1.071473, Avg L1 Loss: 64.330307, Avg L0 Loss: 7.095581, Avg Total Loss: 1.077906
Batch [86/5000], Avg Reconstruction Loss: 1.062726, Avg L1 Loss: 69.954109, Avg L0 Loss: 7.362305, Avg Total Loss: 1.069722
Batch [87/5000], Avg Reconstruction Loss: 1.056190, Avg L1 Loss: 74.940735, Avg L0 Loss: 8.619873, Avg Total Loss: 1.063684
Batch [88/5000], Avg Reconstruction Loss: 1.050761, Avg L1 Loss: 77.640564, Avg L0 Loss: 6.618530, Avg Total Loss: 1.058525
Batch [89/5000], Avg Reconstruction Loss: 1.038912, Avg L1 Loss: 85.032051, Avg L0 Loss: 10.481323, Avg Total Loss: 1.047416
Batch [90/5000], Avg Reconstruction Loss: 1.032528, Avg L1 Loss: 89.730598, Avg L0 Loss: 8.035156, Avg Total Loss: 1.041501
Batch [91/5000], Avg Reconstruction Loss: 1.022027, Avg L1 Loss: 94.623016, Avg L0 Loss: 7.846436, Avg Total Loss: 1.031489
Batch [92/5000], Avg Reconstruction Loss: 1.011040, Avg L1 Loss: 102.333244, Avg L0 Loss: 10.127197, Avg Total Loss: 1.021273
Batch [93/5000], Avg Reconstruction Loss: 1.002838, Avg L1 Loss: 105.587891, Avg L0 Loss: 8.420532, Avg Total Loss: 1.013397
Batch [94/5000], Avg Reconstruction Loss: 0.987453, Avg L1 Loss: 114.728142, Avg L0 Loss: 12.738647, Avg Total Loss: 0.998926
Batch [95/5000], Avg Reconstruction Loss: 0.977828, Avg L1 Loss: 120.153488, Avg L0 Loss: 9.980835, Avg Total Loss: 0.989843
Batch [96/5000], Avg Reconstruction Loss: 0.963018, Avg L1 Loss: 124.819427, Avg L0 Loss: 11.189331, Avg Total Loss: 0.975500
Batch [97/5000], Avg Reconstruction Loss: 0.952016, Avg L1 Loss: 128.548035, Avg L0 Loss: 8.194458, Avg Total Loss: 0.964871
Batch [98/5000], Avg Reconstruction Loss: 0.937987, Avg L1 Loss: 137.357147, Avg L0 Loss: 9.747559, Avg Total Loss: 0.951723
Batch [99/5000], Avg Reconstruction Loss: 0.924431, Avg L1 Loss: 139.579697, Avg L0 Loss: 6.869263, Avg Total Loss: 0.938389
Batch [100/5000], Avg Reconstruction Loss: 0.908052, Avg L1 Loss: 144.409653, Avg L0 Loss: 9.248291, Avg Total Loss: 0.922493
Model checkpoint saved to models/sparse_autoencoder.pth
Repository 'charlieoneill/sparse-coding' already exists on Hugging Face.
/Users/charlesoneill/sparse-inference/wild/./charlieoneill_sparse-coding is already a clone of https://huggingface.co/charlieoneill/sparse-coding. Make sure you pull the latest changes with `repo.git_pull()`.
Several commits (2) will be pushed upstream.
The progress bars may be unreliable.
Upload file sparse_autoencoder.pth: 107MB [01:33, 1.69MB/s]To https://huggingface.co/charlieoneill/sparse-coding                          
   d254f8b..160731c  main -> main

Upload file sparse_autoencoder.pth: 100%|████████████████████████████████████████████████████████████| 99.1M/99.1M [01:34<00:00, 1.10MB/s]
Model 'sparse_autoencoder.pth' uploaded to Hugging Face repository 'charlieoneill/sparse-coding' with commit message 'Checkpoint at batch 100'.
Batch [101/5000], Avg Reconstruction Loss: 0.892324, Avg L1 Loss: 149.696350, Avg L0 Loss: 9.704712, Avg Total Loss: 0.907294
Batch [102/5000], Avg Reconstruction Loss: 0.875573, Avg L1 Loss: 154.826981, Avg L0 Loss: 11.486084, Avg Total Loss: 0.891056
Batch [103/5000], Avg Reconstruction Loss: 0.856284, Avg L1 Loss: 163.548843, Avg L0 Loss: 12.574707, Avg Total Loss: 0.872639
Batch [104/5000], Avg Reconstruction Loss: 0.839904, Avg L1 Loss: 166.791504, Avg L0 Loss: 8.303223, Avg Total Loss: 0.856583
Batch [105/5000], Avg Reconstruction Loss: 0.821265, Avg L1 Loss: 171.342606, Avg L0 Loss: 9.669189, Avg Total Loss: 0.838400
Batch [106/5000], Avg Reconstruction Loss: 0.802167, Avg L1 Loss: 173.555237, Avg L0 Loss: 9.640503, Avg Total Loss: 0.819523
Batch [107/5000], Avg Reconstruction Loss: 0.784531, Avg L1 Loss: 180.211075, Avg L0 Loss: 7.813721, Avg Total Loss: 0.802552
Batch [108/5000], Avg Reconstruction Loss: 0.764201, Avg L1 Loss: 184.550262, Avg L0 Loss: 7.406006, Avg Total Loss: 0.782656
Batch [109/5000], Avg Reconstruction Loss: 0.743525, Avg L1 Loss: 189.794800, Avg L0 Loss: 8.859375, Avg Total Loss: 0.762505
Batch [110/5000], Avg Reconstruction Loss: 0.721811, Avg L1 Loss: 195.499817, Avg L0 Loss: 8.255737, Avg Total Loss: 0.741361
Batch [111/5000], Avg Reconstruction Loss: 0.702182, Avg L1 Loss: 204.307892, Avg L0 Loss: 8.971558, Avg Total Loss: 0.722612
Batch [112/5000], Avg Reconstruction Loss: 0.681560, Avg L1 Loss: 208.155838, Avg L0 Loss: 6.493286, Avg Total Loss: 0.702376
Batch [113/5000], Avg Reconstruction Loss: 0.659029, Avg L1 Loss: 211.148529, Avg L0 Loss: 6.871826, Avg Total Loss: 0.680144
Batch [114/5000], Avg Reconstruction Loss: 0.637815, Avg L1 Loss: 218.294708, Avg L0 Loss: 8.428345, Avg Total Loss: 0.659645
Batch [115/5000], Avg Reconstruction Loss: 0.615686, Avg L1 Loss: 223.140030, Avg L0 Loss: 8.116333, Avg Total Loss: 0.638000
Batch [116/5000], Avg Reconstruction Loss: 0.593866, Avg L1 Loss: 228.464859, Avg L0 Loss: 7.867188, Avg Total Loss: 0.616713
Batch [117/5000], Avg Reconstruction Loss: 0.572697, Avg L1 Loss: 235.646881, Avg L0 Loss: 7.117676, Avg Total Loss: 0.596261
Batch [118/5000], Avg Reconstruction Loss: 0.550461, Avg L1 Loss: 238.249023, Avg L0 Loss: 8.190308, Avg Total Loss: 0.574286
Batch [119/5000], Avg Reconstruction Loss: 0.528033, Avg L1 Loss: 242.785751, Avg L0 Loss: 8.459473, Avg Total Loss: 0.552311
Batch [120/5000], Avg Reconstruction Loss: 0.505691, Avg L1 Loss: 244.415115, Avg L0 Loss: 10.112305, Avg Total Loss: 0.530133
Batch [121/5000], Avg Reconstruction Loss: 0.484281, Avg L1 Loss: 252.247269, Avg L0 Loss: 9.213501, Avg Total Loss: 0.509506
Batch [122/5000], Avg Reconstruction Loss: 0.462131, Avg L1 Loss: 250.921646, Avg L0 Loss: 6.877808, Avg Total Loss: 0.487223
Batch [123/5000], Avg Reconstruction Loss: 0.439201, Avg L1 Loss: 255.439987, Avg L0 Loss: 7.944092, Avg Total Loss: 0.464745
Batch [124/5000], Avg Reconstruction Loss: 0.419283, Avg L1 Loss: 264.188446, Avg L0 Loss: 12.076660, Avg Total Loss: 0.445702
Batch [125/5000], Avg Reconstruction Loss: 0.397318, Avg L1 Loss: 266.377075, Avg L0 Loss: 7.594116, Avg Total Loss: 0.423956
Batch [126/5000], Avg Reconstruction Loss: 0.377466, Avg L1 Loss: 270.067871, Avg L0 Loss: 7.953369, Avg Total Loss: 0.404473
Batch [127/5000], Avg Reconstruction Loss: 0.356199, Avg L1 Loss: 272.682983, Avg L0 Loss: 13.806885, Avg Total Loss: 0.383468
Batch [128/5000], Avg Reconstruction Loss: 0.338125, Avg L1 Loss: 268.162292, Avg L0 Loss: 9.724731, Avg Total Loss: 0.364942
Batch [129/5000], Avg Reconstruction Loss: 0.320070, Avg L1 Loss: 276.738251, Avg L0 Loss: 8.441895, Avg Total Loss: 0.347744
Batch [130/5000], Avg Reconstruction Loss: 0.300416, Avg L1 Loss: 272.343658, Avg L0 Loss: 13.129395, Avg Total Loss: 0.327651
Batch [131/5000], Avg Reconstruction Loss: 0.284757, Avg L1 Loss: 279.042450, Avg L0 Loss: 7.715576, Avg Total Loss: 0.312661
Batch [132/5000], Avg Reconstruction Loss: 0.268682, Avg L1 Loss: 278.352905, Avg L0 Loss: 7.595337, Avg Total Loss: 0.296518
Batch [133/5000], Avg Reconstruction Loss: 0.251059, Avg L1 Loss: 280.284363, Avg L0 Loss: 8.764771, Avg Total Loss: 0.279088
Batch [134/5000], Avg Reconstruction Loss: 0.237339, Avg L1 Loss: 287.012604, Avg L0 Loss: 9.663818, Avg Total Loss: 0.266040
Batch [135/5000], Avg Reconstruction Loss: 0.222880, Avg L1 Loss: 286.514893, Avg L0 Loss: 8.281128, Avg Total Loss: 0.251531
Batch [136/5000], Avg Reconstruction Loss: 0.208747, Avg L1 Loss: 287.625916, Avg L0 Loss: 8.224243, Avg Total Loss: 0.237509
Batch [137/5000], Avg Reconstruction Loss: 0.197776, Avg L1 Loss: 286.802582, Avg L0 Loss: 7.564453, Avg Total Loss: 0.226457
Batch [138/5000], Avg Reconstruction Loss: 0.186554, Avg L1 Loss: 288.705383, Avg L0 Loss: 9.155029, Avg Total Loss: 0.215424
Batch [139/5000], Avg Reconstruction Loss: 0.176010, Avg L1 Loss: 285.202332, Avg L0 Loss: 9.614746, Avg Total Loss: 0.204530
Batch [140/5000], Avg Reconstruction Loss: 0.167639, Avg L1 Loss: 291.117065, Avg L0 Loss: 7.611206, Avg Total Loss: 0.196751
Batch [141/5000], Avg Reconstruction Loss: 0.158966, Avg L1 Loss: 290.099792, Avg L0 Loss: 11.951294, Avg Total Loss: 0.187976
Batch [142/5000], Avg Reconstruction Loss: 0.147988, Avg L1 Loss: 282.316315, Avg L0 Loss: 8.531738, Avg Total Loss: 0.176220
Batch [143/5000], Avg Reconstruction Loss: 0.143227, Avg L1 Loss: 291.462311, Avg L0 Loss: 7.718018, Avg Total Loss: 0.172373
Batch [144/5000], Avg Reconstruction Loss: 0.136230, Avg L1 Loss: 283.058716, Avg L0 Loss: 9.262329, Avg Total Loss: 0.164536
Batch [145/5000], Avg Reconstruction Loss: 0.130682, Avg L1 Loss: 283.512878, Avg L0 Loss: 7.435059, Avg Total Loss: 0.159033
Batch [146/5000], Avg Reconstruction Loss: 0.126713, Avg L1 Loss: 281.192078, Avg L0 Loss: 9.846680, Avg Total Loss: 0.154832
Batch [147/5000], Avg Reconstruction Loss: 0.121031, Avg L1 Loss: 283.573669, Avg L0 Loss: 8.784424, Avg Total Loss: 0.149389
Batch [148/5000], Avg Reconstruction Loss: 0.117519, Avg L1 Loss: 277.385376, Avg L0 Loss: 8.959473, Avg Total Loss: 0.145257
Batch [149/5000], Avg Reconstruction Loss: 0.113382, Avg L1 Loss: 278.149414, Avg L0 Loss: 9.085083, Avg Total Loss: 0.141197
Batch [150/5000], Avg Reconstruction Loss: 0.111026, Avg L1 Loss: 276.283295, Avg L0 Loss: 8.575562, Avg Total Loss: 0.138655
Batch [151/5000], Avg Reconstruction Loss: 0.108321, Avg L1 Loss: 271.596832, Avg L0 Loss: 8.510376, Avg Total Loss: 0.135481
Batch [152/5000], Avg Reconstruction Loss: 0.107314, Avg L1 Loss: 268.848907, Avg L0 Loss: 8.290039, Avg Total Loss: 0.134199
Batch [153/5000], Avg Reconstruction Loss: 0.105501, Avg L1 Loss: 265.361298, Avg L0 Loss: 10.004639, Avg Total Loss: 0.132038
Batch [154/5000], Avg Reconstruction Loss: 0.103327, Avg L1 Loss: 261.456573, Avg L0 Loss: 10.069580, Avg Total Loss: 0.129473
Batch [155/5000], Avg Reconstruction Loss: 0.102069, Avg L1 Loss: 265.075256, Avg L0 Loss: 8.726685, Avg Total Loss: 0.128576
Batch [156/5000], Avg Reconstruction Loss: 0.101960, Avg L1 Loss: 257.026306, Avg L0 Loss: 10.766479, Avg Total Loss: 0.127663
Batch [157/5000], Avg Reconstruction Loss: 0.099697, Avg L1 Loss: 256.106873, Avg L0 Loss: 9.168823, Avg Total Loss: 0.125307
Batch [158/5000], Avg Reconstruction Loss: 0.098621, Avg L1 Loss: 249.006989, Avg L0 Loss: 8.361328, Avg Total Loss: 0.123522
Batch [159/5000], Avg Reconstruction Loss: 0.098452, Avg L1 Loss: 247.556366, Avg L0 Loss: 9.137207, Avg Total Loss: 0.123207
Batch [160/5000], Avg Reconstruction Loss: 0.097773, Avg L1 Loss: 252.660980, Avg L0 Loss: 8.059814, Avg Total Loss: 0.123040
Batch [161/5000], Avg Reconstruction Loss: 0.097051, Avg L1 Loss: 244.562881, Avg L0 Loss: 8.502563, Avg Total Loss: 0.121507
Batch [162/5000], Avg Reconstruction Loss: 0.096269, Avg L1 Loss: 242.538620, Avg L0 Loss: 10.033691, Avg Total Loss: 0.120523
Batch [163/5000], Avg Reconstruction Loss: 0.095966, Avg L1 Loss: 238.757050, Avg L0 Loss: 9.074951, Avg Total Loss: 0.119842
Batch [164/5000], Avg Reconstruction Loss: 0.095249, Avg L1 Loss: 232.210236, Avg L0 Loss: 9.153687, Avg Total Loss: 0.118470
Batch [165/5000], Avg Reconstruction Loss: 0.093360, Avg L1 Loss: 234.143814, Avg L0 Loss: 8.115967, Avg Total Loss: 0.116774
Batch [166/5000], Avg Reconstruction Loss: 0.096064, Avg L1 Loss: 230.862747, Avg L0 Loss: 11.700195, Avg Total Loss: 0.119150
Batch [167/5000], Avg Reconstruction Loss: 0.094756, Avg L1 Loss: 225.695374, Avg L0 Loss: 8.279785, Avg Total Loss: 0.117326
Batch [168/5000], Avg Reconstruction Loss: 0.094413, Avg L1 Loss: 225.535614, Avg L0 Loss: 10.448486, Avg Total Loss: 0.116967
Batch [169/5000], Avg Reconstruction Loss: 0.094344, Avg L1 Loss: 222.597977, Avg L0 Loss: 8.366333, Avg Total Loss: 0.116603
Batch [170/5000], Avg Reconstruction Loss: 0.094051, Avg L1 Loss: 221.492477, Avg L0 Loss: 8.449341, Avg Total Loss: 0.116200
Batch [171/5000], Avg Reconstruction Loss: 0.098806, Avg L1 Loss: 227.824646, Avg L0 Loss: 20.547119, Avg Total Loss: 0.121589
Batch [172/5000], Avg Reconstruction Loss: 0.094549, Avg L1 Loss: 215.799255, Avg L0 Loss: 8.098877, Avg Total Loss: 0.116129
Batch [173/5000], Avg Reconstruction Loss: 0.094792, Avg L1 Loss: 216.516571, Avg L0 Loss: 9.061768, Avg Total Loss: 0.116444
Batch [174/5000], Avg Reconstruction Loss: 0.094879, Avg L1 Loss: 216.282990, Avg L0 Loss: 9.498657, Avg Total Loss: 0.116507
Batch [175/5000], Avg Reconstruction Loss: 0.094066, Avg L1 Loss: 214.578857, Avg L0 Loss: 8.604248, Avg Total Loss: 0.115524
Batch [176/5000], Avg Reconstruction Loss: 0.095880, Avg L1 Loss: 207.790085, Avg L0 Loss: 9.147827, Avg Total Loss: 0.116659
